round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
0,max-cover,4,80,0.85,7.079386286322543,0.178125
0,budget,4,80,0.93125,7.626171134027159,0.1875
0,heuristic,4,80,0.996875,7.474280541330144,0.178125
1,max-cover,4,80,0.7875,5.008182228338838,0.165625
1,budget,4,80,1.0,5.501431695666898,0.175
1,heuristic,4,80,0.99375,5.149345170963387,0.13125
0,max-cover,4,160,0.8625,5.58337234558465,0.0875
0,budget,4,160,0.9875,6.387731576919555,0.0765625
0,heuristic,4,160,0.9890625,5.8484108851325285,0.0703125
2,max-cover,4,80,0.565625,4.659652806436265,0.153125
2,budget,4,80,0.778125,5.336879978563188,0.165625
2,heuristic,4,80,0.9875,5.243468380393787,0.1625
1,max-cover,4,160,0.4046875,7.92870534122811,0.059375
1,budget,4,160,0.746875,8.781604009362844,0.0953125
1,heuristic,4,160,0.9953125,9.402514682375076,0.090625
3,max-cover,4,80,0.5625,2.41028950896968,0.1625
3,budget,4,80,0.85,2.777290801447146,0.15
3,heuristic,4,80,0.9875,2.7133347004865964,0.16875
4,max-cover,4,80,0.75,3.8179377534728864,0.153125
4,budget,4,80,0.984375,4.074710063442337,0.1875
4,heuristic,4,80,0.9,4.141839638700779,0.13125
2,max-cover,4,160,0.7609375,4.715451189778625,0.0875
2,budget,4,160,0.965625,6.121022557648725,0.09375
2,heuristic,4,160,0.99375,5.288283752058239,0.0640625
3,max-cover,4,160,0.8375,9.64018571832158,0.0875
3,budget,4,160,0.996875,9.339818287083151,0.096875
3,heuristic,4,160,0.9984375,9.20935897514041,0.0796875
0,max-cover,8,80,0.765625,2.309387376183416,0.296875
0,budget,8,80,0.88125,2.5078576359348834,0.2921875
0,heuristic,8,80,0.99375,2.4575870345326365,0.3078125
4,max-cover,4,160,0.690625,7.911512592077581,0.0828125
4,budget,4,160,0.94375,8.994950958072508,0.09375
4,heuristic,4,160,0.9921875,8.883099907975312,0.0828125
1,max-cover,8,80,0.6140625,3.911056045505244,0.246875
1,budget,8,80,0.809375,4.018614879568395,0.2859375
1,heuristic,8,80,0.98125,4.093250438712359,0.2984375
0,max-cover,8,160,0.74453125,4.383049491631453,0.16875
0,budget,8,160,0.84296875,4.845092089069874,0.1875
0,heuristic,8,160,0.98984375,4.83907040671919,0.1453125
2,max-cover,8,80,0.671875,5.261440035345162,0.25
2,budget,8,80,0.8296875,5.21729218034737,0.34375
2,heuristic,8,80,0.978125,5.286238353795132,0.3421875
1,max-cover,8,160,0.67265625,4.341803925697956,0.146875
1,budget,8,160,0.859375,4.6723654060285424,0.1890625
1,heuristic,8,160,0.8953125,4.645921475405594,0.15859375
3,max-cover,8,80,0.7484375,3.633189354601837,0.30625
3,budget,8,80,0.875,4.138969491117655,0.3265625
3,heuristic,8,80,0.9515625,4.190635035208597,0.3
4,max-cover,8,80,0.5,2.8546474426695854,0.2515625
4,budget,8,80,0.8921875,3.35720535773864,0.3453125
4,heuristic,8,80,0.984375,3.357275755051264,0.35
2,max-cover,8,160,0.6546875,4.117671627331587,0.1703125
2,budget,8,160,0.83359375,4.597960948222364,0.1875
2,heuristic,8,160,0.99140625,4.44369008697923,0.1515625
0,max-cover,12,80,0.7552083333333334,1.4289413092720622,0.4427083333333333
0,budget,12,80,0.9520833333333332,1.4795279634263558,0.4989583333333333
0,heuristic,12,80,0.959375,1.4889437274984545,0.490625
3,max-cover,8,160,0.7296875,5.807290119565036,0.159375
3,budget,8,160,0.9015625,6.412399118726754,0.1765625
3,heuristic,8,160,0.99453125,6.432986247215108,0.1640625
4,max-cover,8,160,0.60234375,4.874393489065088,0.15
4,budget,8,160,0.9,5.411095184524442,0.17421875
4,heuristic,8,160,0.99296875,5.47540326829032,0.159375
1,max-cover,12,80,0.6739583333333333,3.051216514614832,0.3875
1,budget,12,80,0.8854166666666666,3.1705319816438973,0.5145833333333333
1,heuristic,12,80,0.9364583333333334,3.171669458303084,0.5333333333333332
2,max-cover,12,80,0.5916666666666667,2.968577624867292,0.3520833333333333
2,budget,12,80,0.9083333333333332,3.0866582228036763,0.4635416666666666
2,heuristic,12,80,0.978125,3.1322381813706746,0.496875
0,max-cover,12,160,0.7348958333333333,4.2139812352137,0.2036458333333333
0,budget,12,160,0.809375,4.441217232661934,0.2364583333333333
0,heuristic,12,160,0.9505208333333334,4.51267822758584,0.2151041666666666
3,max-cover,12,80,0.6072916666666667,2.9752395870091424,0.3447916666666666
3,budget,12,80,0.890625,3.0541951070922178,0.4916666666666666
3,heuristic,12,80,0.9135416666666668,3.049423468177592,0.4677083333333333
1,max-cover,12,160,0.7578125,3.195289235324497,0.2203125
1,budget,12,160,0.9171875,3.4740536775557165,0.2755208333333334
1,heuristic,12,160,0.9880208333333332,3.503639062654044,0.2328125
4,max-cover,12,80,0.6729166666666666,1.4383085568743863,0.3
4,budget,12,80,0.8989583333333333,1.5726395787875174,0.4041666666666667
4,heuristic,12,80,0.9916666666666668,1.592870518727483,0.440625
2,max-cover,12,160,0.4953125,4.578658061076996,0.2020833333333333
2,budget,12,160,0.9359375,4.936594328405476,0.2901041666666666
2,heuristic,12,160,0.984375,4.853484467035173,0.2364583333333333
0,max-cover,16,80,0.6953125,2.068352701208221,0.475
0,budget,16,80,0.93515625,2.0962380436895853,0.63984375
0,heuristic,16,80,0.95234375,2.0952423389522665,0.64609375
3,max-cover,12,160,0.6208333333333333,4.00068183544318,0.2124999999999999
3,budget,12,160,0.8432291666666667,4.416221193602332,0.2630208333333332
3,heuristic,12,160,0.9885416666666668,4.488622627108112,0.2213541666666666
1,max-cover,16,80,0.6984375,2.1563596060155583,0.45234375
1,budget,16,80,0.9265625,2.180922911598552,0.60234375
1,heuristic,16,80,0.9203125,2.178472677985418,0.559375
4,max-cover,12,160,0.6552083333333334,2.5398580180302464,0.1973958333333333
