round,method,task,worker,fairness-pairwise, overall-satisfactory,avg-quality,avg-utility,turn
0,max-cover,4,80,0.784375,,0.6695274539196236,0.146875,292.0
0,budget,4,80,0.840625,,0.7845269090760123,0.178125,291.0
0,max-cover,4,160,0.79375,,0.7362774001353297,0.0703125,608.0
0,budget,4,160,0.7984375,,1.0143536304751173,0.0890625,607.0
1,max-cover,4,80,0.784375,,0.6086854888668147,0.18125,294.0
1,budget,4,80,0.88125,,0.6366378564016777,0.18125,287.0
1,max-cover,4,160,0.79375,,0.7965756195638258,0.059375,593.0
1,budget,4,160,0.94375,,0.985517038375318,0.0640625,593.0
2,max-cover,4,80,0.66875,,0.412909496610385,0.19375,286.0
2,budget,4,80,0.83125,,0.5023732949712336,0.196875,276.0
2,max-cover,4,160,0.9,,1.1491408496967934,0.0953125,601.0
2,budget,4,160,0.659375,,1.193230244060138,0.1046875,601.0
3,max-cover,4,80,0.78125,,0.4075368581771333,0.134375,299.0
3,budget,4,80,0.95,,0.494477187491856,0.16875,287.0
3,max-cover,4,160,0.6515625,,1.338494425026276,0.0828125,602.0
3,budget,4,160,0.953125,,1.7420779269886686,0.090625,600.0
4,max-cover,4,160,0.540625,,1.2347294405778182,0.078125,603.0
4,budget,4,160,0.93125,,1.5893988933429242,0.075,598.0
4,max-cover,4,80,0.728125,,0.6713779914990653,0.165625,280.0
4,budget,4,80,0.821875,,0.8263658283625817,0.228125,284.0
0,max-cover,8,160,0.74140625,,0.9552938520948024,0.16875,1100.0
0,budget,8,160,0.9453125,,1.1093108953396964,0.1828125,1103.0
0,max-cover,8,80,0.6875,,0.4717159446197412,0.2796875,517.0
0,budget,8,80,0.9296875,,0.4810969725051841,0.328125,481.0
1,max-cover,8,160,0.73984375,,0.5351468930820579,0.125,1109.0
1,budget,8,160,0.98984375,,0.6104914323199436,0.15859375,1100.0
1,max-cover,8,80,0.6203125,,0.4247216788376642,0.2828125,492.0
1,budget,8,80,0.7828125,,0.4561416823485799,0.3125,443.0
2,max-cover,8,160,0.84765625,,0.8713184000186176,0.16484375,1119.0
2,budget,8,160,0.85859375,,0.9267874441092542,0.2015625,1100.0
3,max-cover,8,160,0.79921875,,0.7749755384707773,0.1640625,1111.0
3,budget,8,160,0.95078125,,0.8314267956792282,0.16796875,1115.0
2,max-cover,8,80,0.6984375,,0.2387727969196454,0.25,516.0
2,budget,8,80,0.91875,,0.2949029307956179,0.3140625,455.0
3,max-cover,8,80,0.7296875,,0.4714103513895356,0.2640625,473.0
3,budget,8,80,0.9109375,,0.5504313200099095,0.340625,453.0
4,max-cover,8,160,0.7765625,,0.5892540528224055,0.1484375,1124.0
4,budget,8,160,0.84296875,,0.7187918306303023,0.17109375,1088.0
4,max-cover,8,80,0.6015625,,0.4605695817330469,0.2421875,496.0
4,budget,8,80,0.8734375,,0.5080087333256943,0.3140625,471.0
0,max-cover,12,160,0.6854166666666667,,0.859723550650893,0.2255208333333333,1568.0
0,budget,12,160,0.9239583333333332,,0.9691371568919912,0.2890624999999999,1444.0
0,max-cover,12,80,0.7114583333333333,,0.6514228241598462,0.3822916666666667,645.0
0,budget,12,80,0.9270833333333334,,0.7069196617559808,0.4843749999999999,532.0
1,max-cover,12,160,0.7520833333333333,,0.5981982722121496,0.2239583333333333,1551.0
1,budget,12,160,0.9390625,,0.7419262020311402,0.2635416666666665,1434.0
1,max-cover,12,80,0.7114583333333333,,0.3213969690756358,0.3614583333333333,633.0
1,budget,12,80,0.921875,,0.3269529863647296,0.4937500000000001,497.0
2,max-cover,12,160,0.60625,,0.7359297437211466,0.221875,1492.0
2,budget,12,160,0.9067708333333332,,0.83998076960718,0.271875,1369.0
3,max-cover,12,160,0.759375,,0.5644970438176916,0.25625,1565.0
3,budget,12,160,0.8614583333333333,,0.6268314243487585,0.2932291666666666,1482.0
3,max-cover,12,80,0.6885416666666666,,0.2747742745183677,0.346875,633.0
3,budget,12,80,0.8729166666666667,,0.2802315878007517,0.4208333333333333,581.0
4,max-cover,12,160,0.7223958333333333,,0.4932042167720981,0.2145833333333333,1527.0
4,budget,12,160,0.8875,,0.5696876677795755,0.271875,1475.0
4,max-cover,12,80,0.490625,,0.3293147378459549,0.3906249999999999,657.0
4,budget,12,80,0.9114583333333334,,0.3644710284486603,0.4614583333333334,561.0
0,max-cover,16,160,0.689453125,,0.588555065972325,0.269921875,1873.0
0,budget,16,160,0.951171875,,0.6710617448199157,0.34375,1739.0
0,max-cover,16,80,0.534375,,0.2387414431942538,0.4546875,725.0
0,budget,16,80,0.92109375,,0.2425556377107111,0.66953125,563.0
1,max-cover,16,160,0.733203125,,0.4551838239189783,0.311328125,1856.0
1,budget,16,160,0.889453125,,0.5136797042549573,0.365625,1687.0
2,max-cover,16,160,0.75,,0.5170877856792563,0.315625,1943.0
2,budget,16,160,0.907421875,,0.5481882850684534,0.344140625,1755.0
1,max-cover,16,80,0.56875,,0.1830844310733415,0.47265625,704.0
1,budget,16,80,0.97421875,,0.1768805295698156,0.55625,472.0
3,max-cover,16,160,0.8171875,,0.5570315895815869,0.26171875,1910.0
3,budget,16,160,0.958203125,,0.6255380281788661,0.33984375,1720.0
