round,method,task,worker,fairness-pairwise, overall-satisfactory,avg-quality,avg-utility,turn
0,budget,4,80,0.709375,,4.507783782479546,0.14375,289
0,max-cover,4,80,0.94375,,4.478456721024307,0.175,289
0,heuristic,4,80,1.0,,4.88880148090848,0.15625,0
1,budget,4,80,0.878125,,3.647504519964652,0.16875,282
1,max-cover,4,80,0.815625,,3.3617209604178147,0.159375,282
1,heuristic,4,80,0.98125,,3.85030444573975,0.184375,0
2,budget,4,80,0.990625,,5.50189094217502,0.15625,286
2,max-cover,4,80,0.61875,,4.79689455342846,0.134375,286
2,heuristic,4,80,0.984375,,5.601287714079247,0.159375,0
3,budget,4,80,0.959375,,5.283389515151313,0.171875,280
3,max-cover,4,80,0.70625,,4.807736546645353,0.1625,280
3,heuristic,4,80,0.98125,,5.400044537220572,0.2,0
4,budget,4,80,0.85,,4.171482241234333,0.175,281
4,max-cover,4,80,0.703125,,3.64082475608893,0.128125,281
4,heuristic,4,80,0.971875,,4.307906885245528,0.18125,0
5,budget,4,80,0.75,,6.995511867815647,0.140625,290
5,max-cover,4,80,0.8125,,7.316625100619868,0.1375,290
5,heuristic,4,80,0.965625,,7.1739077044247646,0.16875,0
6,budget,4,80,0.7375,,6.179376045671312,0.16875,281
6,max-cover,4,80,0.70625,,5.433324431134126,0.153125,281
6,heuristic,4,80,0.971875,,6.344978288941322,0.1875,0
7,budget,4,80,0.865625,,2.6462246286180635,0.15,286
7,max-cover,4,80,0.775,,2.22170741855516,0.14375,286
7,heuristic,4,80,0.98125,,2.7107670207676904,0.178125,0
8,budget,4,80,0.921875,,4.441771340522656,0.146875,286
8,max-cover,4,80,0.525,,3.986103576061801,0.06875,286
8,heuristic,4,80,0.990625,,4.597676806668982,0.140625,0
9,budget,4,80,0.853125,,2.745583268599012,0.15625,285
9,max-cover,4,80,0.646875,,2.407296353209184,0.125,285
9,heuristic,4,80,0.99375,,2.840218094605053,0.184375,0
0,budget,8,80,0.9109375,,3.5855994029165204,0.2921875,481
0,max-cover,8,80,0.5921875,,3.760007459599192,0.259375,481
0,heuristic,8,80,0.89375,,3.6960013841154304,0.3,0
1,budget,8,80,0.8921875,,2.197572640327785,0.3609375,442
1,max-cover,8,80,0.6984375,,2.020844901115983,0.3046875,442
1,heuristic,8,80,0.99375,,2.235418535816339,0.3875,0
2,budget,8,80,0.9609375,,2.0143595529696823,0.30625,472
2,max-cover,8,80,0.6859375,,1.8379613640408423,0.24375,472
2,heuristic,8,80,0.9890625,,2.1276223243732746,0.3140625,0
3,budget,8,80,0.9234375,,3.024386913030268,0.365625,440
3,max-cover,8,80,0.5390625,,3.1633240695285063,0.25625,440
3,heuristic,8,80,0.9609375,,3.0333445538122072,0.4046875,0
4,budget,8,80,0.89375,,2.9745263698500293,0.36875,437
4,max-cover,8,80,0.603125,,2.841280978514022,0.28125,437
4,heuristic,8,80,0.9734375,,3.0427656385480795,0.3765625,0
5,budget,8,80,0.8421875,,1.6132267716386726,0.3046875,472
5,max-cover,8,80,0.703125,,1.55017794819166,0.3078125,472
5,heuristic,8,80,0.978125,,1.5972938952063818,0.3640625,0
6,budget,8,80,0.9046875,,2.486749661808001,0.2984375,478
6,max-cover,8,80,0.809375,,2.324615183375613,0.303125,478
6,heuristic,8,80,0.959375,,2.6484375110966614,0.334375,0
7,budget,8,80,0.871875,,3.746561829026702,0.2734375,494
7,max-cover,8,80,0.61875,,3.310147760677641,0.2328125,494
7,heuristic,8,80,0.86875,,3.618980612310433,0.2875,0
8,budget,8,80,0.8421875,,2.355391479016619,0.3375,457
8,max-cover,8,80,0.6265625,,2.154093953875208,0.2484375,457
8,heuristic,8,80,0.9484375,,2.406801407754513,0.3625,0
9,budget,8,80,0.9375,,3.3335474797295737,0.3421875,453
9,max-cover,8,80,0.525,,3.02725133836006,0.228125,453
9,heuristic,8,80,0.9765625,,3.3854344762310102,0.3625,0
0,budget,12,80,0.9489583333333332,,2.0529221204448853,0.4729166666666666,549
0,max-cover,12,80,0.6010416666666667,,1.900124957720568,0.3583333333333333,549
0,heuristic,12,80,0.9760416666666668,,2.0557697750450874,0.4979166666666666,0
1,budget,12,80,0.8354166666666667,,1.7140839622742383,0.4187499999999999,597
1,max-cover,12,80,0.6510416666666667,,1.6152797825937644,0.3822916666666667,597
1,heuristic,12,80,0.9260416666666668,,1.832562830792274,0.4458333333333333,0
2,budget,12,80,0.91875,,0.6592446971317173,0.3947916666666667,618
2,max-cover,12,80,0.7239583333333333,,0.5987865185556918,0.3322916666666667,618
2,heuristic,12,80,0.9479166666666666,,0.5993473235999506,0.440625,0
3,budget,12,80,0.91875,,2.299188742537853,0.46875,552
3,max-cover,12,80,0.5947916666666666,,2.1127556713527245,0.3416666666666667,552
3,heuristic,12,80,0.95625,,2.300597542832075,0.5020833333333334,0
4,budget,12,80,0.9520833333333332,,1.7700484489137225,0.4895833333333333,533
4,max-cover,12,80,0.6145833333333333,,1.7470506889860813,0.3489583333333333,533
4,heuristic,12,80,0.9604166666666668,,1.7340007865534133,0.5375,0
5,budget,12,80,0.9552083333333332,,1.2099478306317104,0.4614583333333333,557
5,max-cover,12,80,0.68125,,1.1428260703696065,0.340625,557
5,heuristic,12,80,0.9541666666666668,,1.2304993084350997,0.4947916666666666,0
6,budget,12,80,0.915625,,1.6357989213039108,0.4572916666666667,563
6,max-cover,12,80,0.7958333333333334,,1.6063689225620326,0.4041666666666666,563
6,heuristic,12,80,0.8083333333333333,,1.5993633887843215,0.4239583333333334,0
7,budget,12,80,0.959375,,1.970532012616908,0.4520833333333333,566
7,max-cover,12,80,0.5791666666666666,,1.946204137726758,0.29375,566
7,heuristic,12,80,0.9416666666666668,,2.002422565465743,0.4947916666666667,0
8,budget,12,80,0.8802083333333334,,1.3425199622938415,0.4864583333333333,536
8,max-cover,12,80,0.684375,,1.3835497551317282,0.3583333333333334,536
8,heuristic,12,80,0.9395833333333332,,1.3048489445271418,0.5416666666666666,0
9,budget,12,80,0.921875,,1.0991104162124692,0.459375,561
9,max-cover,12,80,0.5572916666666667,,1.0055851979985386,0.3552083333333333,561
9,heuristic,12,80,0.9791666666666666,,1.1167718196664256,0.4927083333333334,0
0,budget,16,80,0.96875,,1.1472094603294307,0.746875,386
0,max-cover,16,80,0.64453125,,1.1729254848385569,0.4296875,386
0,heuristic,16,80,0.88046875,,1.154456043081165,0.58359375,0
1,budget,16,80,0.92265625,,1.4192646534978506,0.565625,605
1,max-cover,16,80,0.64296875,,1.3512726165620332,0.42890625,605
1,heuristic,16,80,0.9453125,,1.4192646534978506,0.59765625,0
2,budget,16,80,0.96640625,,1.4734533410812336,0.625,534
2,max-cover,16,80,0.68125,,1.4718198459662295,0.4578125,534
2,heuristic,16,80,0.96640625,,1.501761138973483,0.62890625,0
3,budget,16,80,0.94921875,,1.160663570888046,0.5890625,576
3,max-cover,16,80,0.78671875,,1.164244650759206,0.48671875,576
3,heuristic,16,80,0.9484375,,1.1685036718069706,0.59140625,0
4,budget,16,80,0.95390625,,0.6525654002725612,0.621875,538
4,max-cover,16,80,0.71953125,,0.6493424944688327,0.50234375,538
4,heuristic,16,80,0.9203125,,0.6433585404977199,0.615625,0
5,budget,16,80,0.89140625,,1.5320365298626777,0.521875,658
5,max-cover,16,80,0.72109375,,1.509421101219794,0.46875,658
5,heuristic,16,80,0.92421875,,1.502767476479106,0.5859375,0
6,budget,16,80,0.9140625,,1.959790180006161,0.61640625,544
6,max-cover,16,80,0.74921875,,1.9103037262278544,0.48203125,544
6,heuristic,16,80,0.93984375,,1.9425955479361128,0.63125,0
7,budget,16,80,0.9046875,,1.6306541798895875,0.5609375,610
7,max-cover,16,80,0.7296875,,1.6422912335298654,0.44609375,610
7,heuristic,16,80,0.92734375,,1.670628649632841,0.55546875,0
8,budget,16,80,0.953125,,1.901357369441361,0.671875,476
8,max-cover,16,80,0.6796875,,1.913421676299029,0.48203125,476
8,heuristic,16,80,0.9453125,,1.905112879603508,0.6609375,0
9,budget,16,80,0.9359375,,1.024035978735007,0.5625,608
9,max-cover,16,80,0.628125,,1.034812962234613,0.42421875,608
9,heuristic,16,80,0.90859375,,1.0276613847082674,0.5859375,0
0,budget,20,80,0.9525,,1.4699014919563935,0.7831250000000003,412
0,max-cover,20,80,0.75,,1.4448918505694468,0.541875,412
0,heuristic,20,80,0.939375,,1.469700773583444,0.7312500000000001,0
1,budget,20,80,0.9725,,1.632252825005538,0.749375,464
1,max-cover,20,80,0.561875,,1.695405479952757,0.461875,464
1,heuristic,20,80,0.8575,,1.6319128801775498,0.62125,0
2,budget,20,80,0.98375,,0.6033124675253804,0.78125,416
2,max-cover,20,80,0.735,,0.6296001114051479,0.5562499999999998,416
2,heuristic,20,80,0.90875,,0.6034386889578298,0.680625,0
3,budget,20,80,0.969375,,1.1336593715001264,0.8200000000000001,357
3,max-cover,20,80,0.606875,,1.1316346721747153,0.47375,357
3,heuristic,20,80,0.8362499999999999,,1.1317904087604802,0.604375,0
4,budget,20,80,0.96625,,0.8702664248718129,0.769375,434
4,max-cover,20,80,0.7106250000000001,,0.8697150355104215,0.49375,434
4,heuristic,20,80,0.82625,,0.8662896013444131,0.6075000000000002,0
5,budget,20,80,0.984375,,1.101888416089595,0.820625,356
5,max-cover,20,80,0.693125,,1.1121791677592094,0.530625,356
5,heuristic,20,80,0.88125,,1.1026615833745863,0.6718750000000001,0
6,budget,20,80,0.981875,,0.556622132144128,0.7706250000000001,431
6,max-cover,20,80,0.625625,,0.5882481205558403,0.4787499999999999,431
6,heuristic,20,80,0.845625,,0.5611312806726858,0.6243750000000002,0
7,budget,20,80,0.941875,,0.9971305804437754,0.6975000000000002,543
7,max-cover,20,80,0.6443749999999999,,0.9781049621136122,0.4862499999999999,543
7,heuristic,20,80,0.9225,,0.9961990527744522,0.6737500000000002,0
8,budget,20,80,0.96375,,0.8970907873354219,0.8056250000000003,378
8,max-cover,20,80,0.64625,,0.9088501020047892,0.5306249999999999,378
8,heuristic,20,80,0.905,,0.8837165758721293,0.693125,0
9,budget,20,80,0.980625,,0.8929730812585,0.775625,424
9,max-cover,20,80,0.595,,0.9212808184076452,0.433125,424
9,heuristic,20,80,0.7975,,0.870412438267407,0.590625,0
0,budget,24,80,0.9942708333333332,,0.771386214597603,0.9427083333333336,190
0,max-cover,24,80,0.6578125,,0.8180398660671445,0.5411458333333334,190
