round,method,task,worker,fairness-pairwise,avg-quality,avg-utility,turn
0,max-cover,20,1200,0.5860416666666667,7.083450016411197,0.0411666666666666,22818.0
0,budget,20,1200,0.888125,7.546839592190058,0.054875,22603.0
0,max-cover,20,600,0.5643333333333334,1.4209632494756952,0.0815,11066.0
0,budget,20,600,0.9705,1.5532990952148868,0.1100833333333333,10735.0
1,max-cover,20,1200,0.649875,2.8497400380448767,0.051,22856.0
1,budget,20,1200,0.8647083333333333,3.141028870199235,0.0598333333333333,22575.0
1,max-cover,20,600,0.50075,1.3286038168765997,0.07725,10995.0
1,budget,20,600,0.8678333333333333,1.3323332670107404,0.1043333333333333,10780.0
2,max-cover,20,1200,0.6430416666666667,3.64486510246891,0.0479166666666666,22858.0
2,budget,20,1200,0.90475,3.921774690527768,0.06225,22629.0
2,max-cover,20,600,0.5115833333333333,3.0942284753533302,0.0825833333333333,10962.0
2,budget,20,600,0.8993333333333333,3.1549952448076786,0.11475,10755.0
3,max-cover,20,1200,0.620375,4.133687512271509,0.0492916666666666,22818.0
3,budget,20,1200,0.8776666666666667,4.472339938665251,0.0602083333333333,22527.0
3,max-cover,20,600,0.4942499999999999,2.918302103471663,0.0851666666666667,11004.0
3,budget,20,600,0.9273333333333332,3.035991090596323,0.1248333333333334,10720.0
4,max-cover,20,1200,0.6207083333333333,3.981677889689721,0.04675,22864.0
4,budget,20,1200,0.918125,4.268837600634412,0.0602083333333333,22576.0
4,max-cover,20,600,0.60875,1.3765409299680398,0.0905,11059.0
4,budget,20,600,0.8265833333333333,1.4408366732239792,0.1035833333333333,10686.0
0,max-cover,40,600,0.4755833333333333,1.0674288971569927,0.1394583333333333,20918.0
0,budget,40,600,0.8640833333333333,1.0459797023290347,0.1999583333333332,19033.0
0,max-cover,40,1200,0.6251041666666667,1.5325803205059896,0.0930416666666667,43687.0
0,budget,40,1200,0.9084791666666668,1.6611114490383383,0.1188541666666666,42715.0
1,max-cover,40,1200,0.5337083333333333,2.202024567073311,0.0882291666666666,43988.0
1,budget,40,1200,0.9152083333333332,2.353018042625627,0.1220624999999999,42712.0
2,max-cover,40,1200,0.6327916666666666,2.0164818468373222,0.0911458333333333,43800.0
2,budget,40,1200,0.919625,2.0438214887408783,0.1166041666666666,42634.0
1,max-cover,40,600,0.3709166666666667,0.374755702950264,0.1161666666666666,20912.0
1,budget,40,600,0.8845833333333333,0.3746851295253344,0.2188749999999998,19581.0
3,max-cover,40,1200,0.5348958333333333,2.496131191238408,0.0858958333333333,43791.0
3,budget,40,1200,0.9131666666666668,2.561838841882509,0.1164999999999999,42484.0
2,max-cover,40,600,0.468375,1.249065752421323,0.1340833333333333,21088.0
2,budget,40,600,0.8696666666666667,1.3014994646645697,0.2064166666666665,19246.0
4,max-cover,40,1200,0.6219375,2.356924594979357,0.0902291666666666,43555.0
4,budget,40,1200,0.9144375,2.319899353593874,0.1159791666666666,42387.0
3,max-cover,40,600,0.336125,0.6742311930063575,0.1274166666666666,21104.0
3,budget,40,600,0.8134583333333334,0.6804766523113004,0.1985833333333333,19528.0
4,max-cover,40,600,0.3810833333333333,1.7594558008941514,0.1244583333333332,21301.0
4,budget,40,600,0.8880833333333333,1.7595275745067684,0.2122916666666666,19016.0
0,max-cover,80,600,0.2559791666666666,0.5622031608964929,0.1525416666666666,41984.0
0,budget,80,600,0.9458333333333332,0.554853685684795,0.4637291666666668,26809.0
1,max-cover,80,600,0.2077708333333333,0.7327360113296865,0.1394583333333333,40620.0
1,budget,80,600,0.9525416666666666,0.739867533904905,0.4596875000000003,27085.0
0,max-cover,80,1200,0.3665208333333333,1.5429348095556117,0.1287395833333333,84293.0
0,budget,80,1200,0.8617604166666667,1.5322864141772554,0.2173020833333335,75997.0
1,max-cover,80,1200,0.4230833333333333,1.3040852774506002,0.1356458333333333,83484.0
1,budget,80,1200,0.8236770833333333,1.2934876645703135,0.21128125,76612.0
2,max-cover,80,600,0.2228958333333333,0.3867218073694155,0.1472291666666666,41031.0
2,budget,80,600,0.9274166666666668,0.3853907021171879,0.4446250000000001,26995.0
2,max-cover,80,1200,0.45959375,1.8169894019877688,0.14403125,83656.0
2,budget,80,1200,0.8615104166666667,1.8079571614048289,0.2108020833333335,75945.0
3,max-cover,80,600,0.2418541666666667,0.4102434420192946,0.1522291666666666,41959.0
