round,method,task,worker,fairness-pairwise
0,max-cover,10,600,0.5705
0,budget,10,600,0.9163333333333332
0,heuristic,10,600,0.9986666666666668
1,max-cover,10,600,0.645
1,budget,10,600,0.6756666666666666
1,heuristic,10,600,0.9991666666666666
2,max-cover,10,600,0.626
2,budget,10,600,0.8566666666666667
2,heuristic,10,600,0.9966666666666668
3,max-cover,10,600,0.487
3,budget,10,600,0.8183333333333334
3,heuristic,10,600,0.998
0,max-cover,20,600,0.7098333333333333
0,budget,20,600,0.8943333333333333
0,heuristic,20,600,0.9969166666666668
4,max-cover,10,600,0.602
4,budget,10,600,0.8318333333333333
4,heuristic,10,600,0.9981666666666666
1,max-cover,20,600,0.6205
1,budget,20,600,0.8460833333333333
1,heuristic,20,600,0.8873333333333333
2,max-cover,20,600,0.6878333333333333
2,budget,20,600,0.90275
2,heuristic,20,600,0.7400833333333333
0,max-cover,40,600,0.672875
0,budget,40,600,0.9326666666666666
0,heuristic,40,600,0.8502083333333333
3,max-cover,20,600,0.6565
3,budget,20,600,0.8966666666666667
3,heuristic,20,600,0.998
1,max-cover,40,600,0.715625
1,budget,40,600,0.9147916666666668
1,heuristic,40,600,0.8472500000000001
4,max-cover,20,600,0.6992499999999999
4,budget,20,600,0.8955
4,heuristic,20,600,0.86775
2,max-cover,40,600,0.6595
2,budget,40,600,0.922125
2,heuristic,40,600,0.9429166666666666
0,max-cover,10,1200,0.5419166666666666
0,budget,10,1200,0.8369166666666666
0,heuristic,10,1200,0.9984166666666666
1,max-cover,10,1200,0.6677500000000001
1,budget,10,1200,0.8434166666666667
1,heuristic,10,1200,0.99825
3,max-cover,40,600,0.799125
3,budget,40,600,0.931
3,heuristic,40,600,0.903375
0,max-cover,80,600,0.7912916666666667
0,budget,80,600,0.9360833333333334
0,heuristic,80,600,0.9118333333333332
2,max-cover,10,1200,0.6870833333333333
2,budget,10,1200,0.8711666666666666
2,heuristic,10,1200,0.9961666666666666
3,max-cover,10,1200,0.6109166666666667
3,budget,10,1200,0.83375
