round,method,task,worker,avg-quality,avg-utility
1,max-cover,40,600,96.72901608140768,0.2534999999999999
1,budget,40,600,122.58102952217097,0.3203333333333333
1,heuristic,40,600,116.56777869989251,0.1445
2,max-cover,40,600,94.80587290949,0.2424583333333332
2,budget,40,600,115.94006052926024,0.2783749999999999
2,heuristic,40,600,115.16852271183288,0.1622916666666666
3,max-cover,40,600,102.46632555297154,0.2483333333333332
3,budget,40,600,123.06871113982108,0.2974166666666665
3,heuristic,40,600,122.52169989806768,0.1617083333333333
1,max-cover,80,600,76.24852094330417,0.4500833333333335
1,budget,80,600,83.1501334385122,0.5576458333333333
1,heuristic,80,600,87.09930149120024,0.360375
4,max-cover,40,600,96.32689977364126,0.2349999999999999
4,budget,40,600,119.47399647604976,0.3019583333333333
4,heuristic,40,600,117.70089245508164,0.1788749999999999
2,max-cover,80,600,72.50336434783642,0.4730208333333338
2,budget,80,600,78.26446854847644,0.559729166666667
2,heuristic,80,600,83.17743303534243,0.3377083333333333
3,max-cover,80,600,72.95825525676527,0.4417291666666672
3,budget,80,600,78.74581593635138,0.5478958333333342
3,heuristic,80,600,83.1244036357252,0.3320416666666669
4,max-cover,80,600,72.71138878414862,0.4800416666666669
4,budget,80,600,80.57720486303921,0.5718333333333341
4,heuristic,80,600,84.82401021399309,0.3463333333333332
1,max-cover,160,600,48.05172769940599,0.7402812499999994
1,budget,160,600,46.893494509681794,0.9063854166666656
1,heuristic,160,600,51.66223091760567,0.7170625
2,max-cover,160,600,49.17914017102141,0.7399062499999994
2,budget,160,600,47.501960054195045,0.9501041666666656
2,heuristic,160,600,53.26755270773951,0.6956874999999998
3,max-cover,160,600,46.89475921473365,0.7361145833333325
3,budget,160,600,44.93617468033451,0.9293020833333324
3,heuristic,160,600,50.450402040026255,0.6943541666666665
4,max-cover,160,600,43.22512041853845,0.7692187499999996
4,budget,160,600,41.22136400609942,0.925385416666666
4,heuristic,160,600,46.712897600891765,0.6740416666666657
1,max-cover,10,1200,134.6916460112,0.03625
1,budget,10,1200,153.72416102205426,0.0444166666666666
1,heuristic,10,1200,156.73052808312514,0.0181666666666666
1,max-cover,20,1200,135.9776578536831,0.071
1,budget,20,1200,166.8173875722289,0.0828333333333333
1,heuristic,20,1200,156.36277955391364,0.0416666666666666
2,max-cover,10,1200,134.3407211933196,0.0329166666666666
2,budget,10,1200,171.37929309396716,0.0405833333333333
2,heuristic,10,1200,174.12867970487014,0.02325
3,max-cover,10,1200,133.7116827413617,0.0364166666666666
3,budget,10,1200,153.39002581927843,0.0386666666666666
3,heuristic,10,1200,159.62233323409993,0.0204999999999999
2,max-cover,20,1200,126.6092056980076,0.0660833333333333
2,budget,20,1200,153.20639177144704,0.0830416666666666
2,heuristic,20,1200,141.95865010315865,0.0397916666666666
4,max-cover,10,1200,127.96714967187864,0.0361666666666666
4,budget,10,1200,151.27954381509045,0.0406666666666666
4,heuristic,10,1200,156.4314756081722,0.02225
3,max-cover,20,1200,126.99711922205027,0.0604166666666666
3,budget,20,1200,151.80200114217592,0.0854583333333333
3,heuristic,20,1200,154.15005159779045,0.040375
4,max-cover,20,1200,128.8491427597441,0.0701666666666666
4,budget,20,1200,157.02355244360015,0.0858333333333333
4,heuristic,20,1200,147.28978523326774,0.0387916666666666
1,max-cover,40,1200,116.92346002957922,0.1310833333333333
1,budget,40,1200,143.23548981549874,0.1573541666666665
1,heuristic,40,1200,138.64590266113584,0.0819583333333333
2,max-cover,40,1200,123.290573473621,0.1299374999999999
2,budget,40,1200,147.87630387571744,0.1625624999999999
2,heuristic,40,1200,146.78013144413734,0.0832916666666666
3,max-cover,40,1200,118.58536021503932,0.1375208333333333
3,budget,40,1200,145.47538419745896,0.1768749999999998
3,heuristic,40,1200,141.2247037515445,0.0881041666666666
4,max-cover,40,1200,115.00780597202106,0.1250416666666665
4,budget,40,1200,151.70021701936273,0.1662708333333332
4,heuristic,40,1200,138.72181993050296,0.0809166666666666
1,max-cover,80,1200,108.646765947282,0.2552604166666669
1,budget,80,1200,131.8178976293538,0.3087395833333336
1,heuristic,80,1200,133.90291263901344,0.1758541666666666
2,max-cover,80,1200,105.79416539798956,0.2616458333333334
2,budget,80,1200,131.6619216766045,0.3207604166666669
2,heuristic,80,1200,129.70575106341337,0.1622708333333333
3,max-cover,80,1200,107.58978803053598,0.2496979166666668
3,budget,80,1200,129.49904658759783,0.31340625
3,heuristic,80,1200,126.20346225591943,0.1622395833333333
1,max-cover,160,1200,85.63529870437826,0.4897343749999998
1,budget,160,1200,92.22125717849894,0.5965989583333322
1,heuristic,160,1200,98.16625028107532,0.3456822916666665
4,max-cover,80,1200,105.6600132835717,0.2558854166666668
4,budget,80,1200,133.72806923510717,0.3276041666666668
4,heuristic,80,1200,125.9158145029301,0.17296875
0,max-cover,10,600,116.1090966027852,0.0634999999999999
0,budget,10,600,148.0205099714605,0.0779999999999999
0,heuristic,10,600,151.2855149778718,0.0471666666666666
1,max-cover,10,600,110.7556513549864,0.0668333333333333
1,budget,10,600,147.55829997511194,0.0736666666666666
1,heuristic,10,600,139.7433629972266,0.0385
2,max-cover,10,600,132.04155864023474,0.0663333333333333
2,budget,10,600,156.07753024790463,0.0813333333333333
2,heuristic,10,600,148.58312312957702,0.0445
3,max-cover,10,600,122.0432703789807,0.0628333333333333
3,budget,10,600,153.508481833604,0.074
3,heuristic,10,600,151.9357032706509,0.0398333333333333
4,max-cover,10,600,110.86312590688595,0.0606666666666666
4,budget,10,600,141.8189713815204,0.0725
4,heuristic,10,600,149.4832648852118,0.0444999999999999
0,max-cover,20,600,119.52052451423488,0.1234166666666667
0,budget,20,600,149.83044149964317,0.1605833333333333
0,heuristic,20,600,148.28052505088846,0.0935833333333333
1,max-cover,20,600,112.88963296537511,0.12775
1,budget,20,600,140.49348899162004,0.1564999999999999
1,heuristic,20,600,135.59006800671222,0.0888333333333333
2,max-cover,20,600,107.5639851340369,0.1253333333333333
2,budget,20,600,134.2791478736286,0.1473333333333334
2,heuristic,20,600,137.5402143713172,0.0762499999999999
3,max-cover,20,600,116.34697322723244,0.1344166666666666
3,budget,20,600,141.0922304790954,0.16675
3,heuristic,20,600,131.74082942404624,0.0760833333333333
4,max-cover,20,600,120.23218244129646,0.1233333333333333
4,budget,20,600,140.38827628977936,0.161
4,heuristic,20,600,144.77960417548485,0.0979166666666666
2,max-cover,160,1200,79.04964974432937,0.4965468749999991
2,budget,160,1200,86.23799501126454,0.6011666666666655
2,heuristic,160,1200,88.2962451991415,0.329015625
0,max-cover,40,600,94.9785963512514,0.2372083333333331
0,budget,40,600,122.9302535640904,0.3239583333333333
0,heuristic,40,600,112.33691145297982,0.1689583333333334
3,max-cover,160,1200,83.67641060119664,0.4872812499999995
3,budget,160,1200,92.51213009780795,0.606755208333332
3,heuristic,160,1200,95.82067265057682,0.3356041666666666
0,max-cover,80,600,72.94368886663872,0.4590624999999999
0,budget,80,600,79.18332490985274,0.5605000000000002
0,heuristic,80,600,82.55152643492981,0.3531041666666666
4,max-cover,160,1200,79.35678605203839,0.4880052083333325
4,budget,160,1200,85.27455773625752,0.5862239583333329
4,heuristic,160,1200,90.4338542866493,0.3386562499999996
0,max-cover,120,1200,95.19084676342057,0.3953125000000003
0,budget,120,1200,113.39852191045333,0.4832986111111111
0,heuristic,120,1200,105.83370954609548,0.2616319444444444
0,max-cover,120,600,57.00905661595672,0.6399861111111109
0,budget,120,600,59.3344003325443,0.7651249999999999
0,heuristic,120,600,61.8458326142236,0.4503333333333331
1,max-cover,120,600,59.9188266794298,0.6153611111111115
1,budget,120,600,61.4229198275629,0.7644305555555558
1,heuristic,120,600,67.25348825445693,0.5123611111111117
1,max-cover,120,1200,92.22717091352156,0.3755902777777781
1,budget,120,1200,110.6204309723625,0.4724374999999999
1,heuristic,120,1200,103.96324367712356,0.2482430555555556
2,max-cover,120,600,62.43158568714773,0.6042638888888888
2,budget,120,600,64.46785883306242,0.7668888888888892
2,heuristic,120,600,67.60262108813455,0.5210277777777772
2,max-cover,120,1200,93.47073990370968,0.3772708333333334
2,budget,120,1200,108.1977299470059,0.4673055555555566
2,heuristic,120,1200,107.5563288644828,0.2605833333333333
3,max-cover,120,600,57.906299424987175,0.6396388888888889
3,budget,120,600,60.09653654828374,0.7546250000000008
3,heuristic,120,600,67.79748271849054,0.5154722222222222
3,max-cover,120,1200,94.34928306375976,0.3761250000000003
3,budget,120,1200,107.85105146845916,0.4741736111111115
3,heuristic,120,1200,110.01976673991317,0.2646736111111111
4,max-cover,120,600,54.87622543391713,0.6386944444444449
