round,method,task,worker,fairness-pairwise,avg-quality,avg-utility,turn
0,budget,20,800,0.889875,19.49752706247812,0.08475,14727
0,max-cover,20,800,0.515,17.567771431522416,0.0608749999999999,14727
0,heuristic,20,800,0.9928125,19.673526471162788,0.0866874999999999,0
1,budget,20,800,0.94025,16.0862741517817,0.08675,14696
1,max-cover,20,800,0.5722499999999999,15.287314500406543,0.069375,14696
1,heuristic,20,800,0.988375,16.103050908245283,0.0875,0
2,budget,20,800,0.892,19.7562544294418,0.085375,14714
2,max-cover,20,800,0.4097499999999999,19.044458277687745,0.059,14714
2,heuristic,20,800,0.980875,20.00846102354699,0.095625,0
3,budget,20,800,0.8898125,12.820881066186775,0.0925624999999999,14602
3,max-cover,20,800,0.5509999999999999,12.20219994963161,0.068375,14602
3,heuristic,20,800,0.951625,13.047767638908985,0.1011249999999999,0
4,budget,20,800,0.9389375,12.753334091380289,0.08825,14668
4,max-cover,20,800,0.6339375,12.268784432291238,0.0652499999999999,14668
4,heuristic,20,800,0.913625,12.724283688048777,0.086125,0
5,budget,20,800,0.8291875,13.377217161417573,0.0816875,14770
5,max-cover,20,800,0.6476875,13.176394998719042,0.0683749999999999,14770
5,heuristic,20,800,0.9296875,13.56735512385094,0.0905625,0
6,budget,20,800,0.9405625,18.07762302573793,0.0858124999999999,14707
6,max-cover,20,800,0.59975,18.24739111820071,0.0706875,14707
6,heuristic,20,800,0.96475,18.062863679640607,0.0917499999999999,0
7,budget,20,800,0.9068125,16.890095483303593,0.085,14723
7,max-cover,20,800,0.560875,17.26919971724987,0.063375,14723
7,heuristic,20,800,0.9801875,17.054519425804756,0.0960625,0
8,budget,20,800,0.8846875,16.17484627180591,0.0877499999999999,14679
8,max-cover,20,800,0.5965625,15.272161484888418,0.0691249999999999,14679
8,heuristic,20,800,0.9455,16.38715313068588,0.0916249999999999,0
9,budget,20,800,0.84275,20.070825323949403,0.0778125,14832
9,max-cover,20,800,0.5928125,20.12619875748943,0.065625,14832
9,heuristic,20,800,0.9678125,20.13014652683351,0.0876875,0
0,budget,40,800,0.8160000000000001,4.74721101418522,0.1685312499999999,26745
0,max-cover,40,800,0.4586875,4.732944342621996,0.1171562499999999,26745
0,heuristic,40,800,0.778375,4.713692191553378,0.1583124999999999,0
1,budget,40,800,0.822375,8.280363377221622,0.1511874999999999,27289
1,max-cover,40,800,0.4536249999999999,8.212073726333244,0.106,27289
1,heuristic,40,800,0.76765625,8.283632447626648,0.1500312499999999,0
