method,cost
max-cover,0
max-cover,0.4490332787714493
max-cover,0.49761030477154977
max-cover,0
max-cover,0.25960656433065943
max-cover,0
max-cover,0.31752631905922307
max-cover,0
max-cover,0.3723952291655509
max-cover,0.40568166318821997
max-cover,0.27643168943371954
max-cover,0.6612353889405644
max-cover,0.3605196855984726
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.42211197003300593
max-cover,0
max-cover,0.19393554788864367
max-cover,0
max-cover,0
max-cover,0.9028942122215589
max-cover,0.3991683536934979
max-cover,0
max-cover,0.3698203130151677
max-cover,0.1040598103331699
max-cover,0.2712852625707205
max-cover,0
max-cover,0.3198559672417512
max-cover,0
max-cover,0
max-cover,0.20778633318344597
max-cover,0
max-cover,0
max-cover,0
max-cover,0.11969754077805553
max-cover,0.4134742691126415
max-cover,0.8600967457401232
max-cover,0
max-cover,0
max-cover,0.19637704414056054
max-cover,0
max-cover,0.48775033214613295
max-cover,0.17073966251349929
max-cover,0
max-cover,0
max-cover,0
max-cover,0.25031351032063826
max-cover,0.3796341304917449
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.5737750848868698
max-cover,0
max-cover,0.3658255821609778
max-cover,0.4347382611735796
max-cover,0
max-cover,0
max-cover,0
max-cover,0.4941202549404856
max-cover,0.13441820982463223
max-cover,0
max-cover,0
max-cover,0.44623609391806895
max-cover,0
max-cover,0.5520930424243283
max-cover,0.4601527747538492
max-cover,0
max-cover,0.4821630584537767
max-cover,0
max-cover,0
max-cover,0.20669172945883077
max-cover,0
max-cover,0.3535302934386234
max-cover,0.3948229955955881
max-cover,0.22375127873002476
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.20218746279941258
max-cover,0
max-cover,0
max-cover,0.20645388076046275
max-cover,0.40055709406878903
max-cover,0
max-cover,0
max-cover,0.25334503212873727
max-cover,0.4741356385737282
max-cover,0.3004468014709736
max-cover,0.6380668706456648
max-cover,0
max-cover,0
max-cover,0.23555551884115525
max-cover,0.48542023928620626
max-cover,0
max-cover,0
max-cover,0.43766073230313707
max-cover,0.18930057018758417
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.29440923092560833
max-cover,0
max-cover,0
max-cover,0.3351444929868327
max-cover,0.3096249907085481
max-cover,0
max-cover,0
max-cover,0.21485732162780224
max-cover,0.8109654079533188
max-cover,0.3420941068784101
max-cover,0.5299276063054473
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.32634777950222743
max-cover,0
max-cover,0
max-cover,0.18648725578759595
max-cover,0.10985902821376331
max-cover,0.2755049781612696
max-cover,0
max-cover,0
max-cover,0
max-cover,0.1970951210465001
max-cover,0
max-cover,0
max-cover,0.3306182340163427
max-cover,0.2974112678181689
max-cover,0
max-cover,0.14146815240662902
max-cover,0.6616385276727191
max-cover,0
max-cover,0
max-cover,0.4998183153012583
max-cover,0.28074479241761785
max-cover,0.3684353408920874
max-cover,0
max-cover,0.14100141096157617
max-cover,0
max-cover,0.30157103252136386
max-cover,0.4252161183214265
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.44970531226264165
max-cover,0.3732923122915699
max-cover,0.13301453332046492
max-cover,0
max-cover,0.207153290078563
max-cover,0
max-cover,0
max-cover,0.3255789187864122
max-cover,0.18385971751707078
max-cover,0.39518951134344105
max-cover,0
max-cover,0.34556815099714033
max-cover,0.28820277887553825
max-cover,0
max-cover,0.3882674785146576
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.38916519640200464
max-cover,0.2057207311126432
max-cover,0.13782295112014273
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0
max-cover,0.15816516051308752
max-cover,0
max-cover,0
max-cover,0
max-cover,0.1430892350996018
max-cover,0
budget,0.8849415096788054
budget,0.8463013741844252
budget,0.9688160187310134
budget,0.8140266515018414
budget,0.9417907200382278
budget,0.9344308346846878
budget,0.6854861667175514
budget,0.6294629943916937
budget,0.8997783065351943
budget,0.8302124761496017
budget,0.7244849985320745
budget,0.994601587538481
budget,0.9146736624558347
budget,0.9587384465931823
