round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
0,max-cover,1,10,0.1999999999999999,37.30472448782498,0.2
0,budget,1,10,0.3,36.086456181482085,0.2
0,max-cover,1,20,0.05,31.60053840888692,0.05
0,budget,1,20,1.0,45.12799318328257,0.3
1,max-cover,1,10,0.6,39.728804813615525,0.2
1,budget,1,10,0.8,40.71158459093583,0.4
1,max-cover,1,20,0.0999999999999999,39.291564979864845,0.1
1,budget,1,20,0.65,41.07071526465948,0.2
2,max-cover,1,10,0.0999999999999999,24.92404581775126,0.1
2,budget,1,10,0.8,36.59693624074744,0.3
3,max-cover,1,10,0.1999999999999999,28.921664570901115,0.2
3,budget,1,10,1.0,39.42201749916819,0.3
2,max-cover,1,20,0.05,28.06042977275953,0.05
2,budget,1,20,0.85,40.68374535326559,0.2
4,max-cover,1,10,0.5,28.701495847699963,0.2
4,budget,1,10,0.5,34.14237813935189,0.3
3,max-cover,1,20,0.55,37.29792259251647,0.15
3,budget,1,20,0.9,41.184158455712,0.15
4,max-cover,1,20,0.25,32.462091821168,0.1
4,budget,1,20,0.9,38.81615257145712,0.25
0,max-cover,2,10,0.4499999999999999,35.702619226821525,0.45
0,budget,2,10,0.95,40.85930654584472,0.7
0,max-cover,2,20,0.275,33.7459330139222,0.25
0,budget,2,20,0.6,37.74346589429975,0.4
1,max-cover,2,10,0.4499999999999999,31.204573583720336,0.35
1,budget,2,10,0.85,37.37499111904325,0.5
1,max-cover,2,20,0.425,37.58704114171097,0.175
1,budget,2,20,0.55,42.13051605035776,0.35
2,max-cover,2,10,0.25,31.69726606516224,0.25
2,budget,2,10,0.55,35.40576196398878,0.45
3,max-cover,2,10,0.55,32.881207529174176,0.35
3,budget,2,10,0.7,35.182243154987034,0.4
2,max-cover,2,20,0.0749999999999999,29.08386535715424,0.075
2,budget,2,20,0.775,38.72415296519216,0.475
4,max-cover,2,10,0.1999999999999999,25.779684876257065,0.2
4,budget,2,10,0.95,37.014092647857154,0.5
3,max-cover,2,20,0.175,32.95968462039002,0.125
3,budget,2,20,0.6,36.04354638852937,0.3
4,max-cover,2,20,0.175,35.472363373702564,0.175
4,budget,2,20,0.75,39.63781321419009,0.35
0,max-cover,3,10,0.6,33.91460673427286,0.4333333333333334
0,budget,3,10,0.8333333333333334,36.66765748577977,0.7666666666666667
1,max-cover,3,10,0.3,27.02691058912717,0.3
1,budget,3,10,0.9666666666666668,33.23588214238995,0.7333333333333333
0,max-cover,3,20,0.25,28.0293155519524,0.25
0,budget,3,20,0.8333333333333334,39.67719743952943,0.45
2,max-cover,3,10,0.6,33.5703394566922,0.5666666666666667
2,budget,3,10,0.9,35.86167293088952,0.8
1,max-cover,3,20,0.4,33.15518867770973,0.2666666666666667
1,budget,3,20,0.7166666666666667,34.091547423317586,0.45
3,max-cover,3,10,0.4333333333333333,30.777272523595,0.4333333333333334
3,budget,3,10,1.0,33.87393556592567,0.9666666666666668
