round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
0,max-cover,1,10.0,0.4,0.3,1.412551384911827,0.3,10.0
0,budget,1,10.0,0.6,0.5,1.562034368286222,0.4,10.0
1,max-cover,1,10.0,0.1999999999999999,0.1999999999999999,1.7100434698269098,0.2,10.0
1,budget,1,10.0,1.0,1.0,2.649596171380946,0.3,10.0
2,max-cover,1,10.0,0.4,0.3,1.3821757849185874,0.2,10.0
2,budget,1,10.0,1.0,1.0,2.2477943569567915,0.4,10.0
3,max-cover,1,10.0,0.4,0.4,2.0283110132730875,0.3,10.0
3,budget,1,10.0,0.6,0.6,2.2076016628943926,0.3,10.0
4,max-cover,1,10.0,0.7,0.7,3.057700743123144,0.3,10.0
4,budget,1,10.0,1.0,1.0,3.3511854126639817,0.3,10.0
5,max-cover,1,10.0,0.6,0.6,3.4621007835395208,0.4,10.0
5,budget,1,10.0,1.0,1.0,4.970717865949323,0.6,10.0
6,max-cover,1,10.0,0.9,0.4,2.8674651582048223,0.3,10.0
6,budget,1,10.0,0.8,0.8,3.021329142303617,0.4,10.0
0,max-cover,1,20.0,0.4,0.15,2.34220587316753,0.15,20.0
0,budget,1,20.0,0.6,0.6,3.3008214566004583,0.25,20.0
7,max-cover,1,10.0,0.3,0.1999999999999999,2.057902770550864,0.2,10.0
7,budget,1,10.0,0.8,0.8,2.683488362007985,0.3,10.0
8,max-cover,1,10.0,0.9,0.8,2.2671374416325367,0.3,10.0
8,budget,1,10.0,1.0,1.0,2.791956205557423,0.3,10.0
1,max-cover,1,20.0,0.8,0.25,2.2382080628230456,0.15,20.0
1,budget,1,20.0,0.75,0.5,2.4490537499005787,0.2,20.0
9,max-cover,1,10.0,0.4,0.3,2.0734647088403606,0.3,10.0
9,budget,1,10.0,0.7,0.4,2.320336201009509,0.3,10.0
2,max-cover,1,20.0,0.7,0.3,2.1799420984358004,0.1,20.0
2,budget,1,20.0,1.0,0.55,2.5460494444188893,0.1,20.0
0,max-cover,2,10.0,0.75,0.6,1.5107331910777422,0.3,16.0
0,budget,2,10.0,0.8,0.65,1.4498073020595517,0.5,16.0
1,max-cover,2,10.0,0.4499999999999999,0.4499999999999999,1.7842877401601256,0.45,13.0
1,budget,2,10.0,1.0,1.0,1.9655916485856129,0.7,13.0
3,max-cover,1,20.0,0.8,0.5,3.098295229628022,0.15,20.0
3,budget,1,20.0,0.6,0.55,3.090180968878232,0.2,20.0
2,max-cover,2,10.0,0.4,0.4,1.4449166891244012,0.4,16.0
2,budget,2,10.0,0.6,0.6,1.599280867042661,0.5,16.0
4,max-cover,1,20.0,0.75,0.15,1.6338976391484226,0.15,20.0
4,budget,1,20.0,0.8,0.8,1.9414302293594567,0.2,20.0
5,max-cover,1,20.0,0.25,0.25,2.1725404917740136,0.1,20.0
5,budget,1,20.0,1.0,0.75,2.892784893938225,0.1,20.0
3,max-cover,2,10.0,0.7,0.7,2.1259143982858792,0.55,18.0
3,budget,2,10.0,0.5,0.4499999999999999,2.1999887919529093,0.4,18.0
4,max-cover,2,10.0,0.7,0.65,1.5973681509183697,0.6,14.0
4,budget,2,10.0,1.0,1.0,1.9577761980272272,0.7,14.0
5,max-cover,2,10.0,0.8,0.6,1.9023530616138664,0.45,16.0
5,budget,2,10.0,0.95,0.8,2.4730238190376985,0.5,16.0
6,max-cover,1,20.0,0.1999999999999999,0.1999999999999999,2.6722963913687936,0.15,20.0
6,budget,1,20.0,0.95,0.65,3.412518743816672,0.2,20.0
6,max-cover,2,10.0,0.7,0.7,2.373354707269417,0.7,14.0
6,budget,2,10.0,0.85,0.75,3.4416423710435904,0.75,14.0
7,max-cover,1,20.0,0.65,0.4,2.5179848303312578,0.1,20.0
7,budget,1,20.0,0.9,0.4,2.443319417088552,0.2,20.0
7,max-cover,2,10.0,0.4,0.4,1.81496994609072,0.35,15.0
7,budget,2,10.0,0.85,0.85,2.470201271006565,0.6,15.0
8,max-cover,1,20.0,0.1999999999999999,0.15,2.3098831926347083,0.15,20.0
8,budget,1,20.0,0.85,0.8,3.566971746173526,0.2,20.0
8,max-cover,2,10.0,0.75,0.75,2.3517464172880995,0.45,16.0
8,budget,2,10.0,0.85,0.85,2.597483058376368,0.5,16.0
9,max-cover,1,20.0,0.55,0.25,2.379209450769221,0.1,20.0
9,budget,1,20.0,0.9,0.55,2.618345256893297,0.15,20.0
9,max-cover,2,10.0,0.65,0.65,1.983119262220776,0.4,13.0
9,budget,2,10.0,1.0,1.0,2.321787179732296,0.7,13.0
0,max-cover,3,10.0,0.7333333333333334,0.7333333333333334,0.9241691692339464,0.7,12.0
0,budget,3,10.0,0.9666666666666668,0.9666666666666668,1.161237866843049,0.9333333333333332,12.0
0,max-cover,2,20.0,0.725,0.6,2.532969990214504,0.375,34.0
0,budget,2,20.0,0.675,0.675,2.5906985000937763,0.325,34.0
1,max-cover,3,10.0,0.9666666666666668,0.9666666666666668,1.637767040891352,0.7,16.0
1,budget,3,10.0,0.9333333333333332,0.9333333333333332,1.614298587395887,0.7666666666666667,16.0
1,max-cover,2,20.0,0.6,0.275,2.3332390155518468,0.275,34.0
1,budget,2,20.0,0.85,0.625,3.070291396697451,0.35,34.0
2,max-cover,3,10.0,0.9333333333333332,0.9,1.6890503992654675,0.8333333333333334,16.0
2,budget,3,10.0,1.0,1.0,1.5249633267380274,0.7666666666666667,16.0
2,max-cover,2,20.0,1.0,0.8,3.0796170975332537,0.35,36.0
2,budget,2,20.0,1.0,0.9,3.289586572766728,0.325,36.0
