round,method,task,worker,fairness-pairwise
0,max-cover,10,10,0.97
0,budget,10,10,1.0
0,heuristic,10,10,1.0
1,max-cover,10,10,1.0
1,budget,10,10,1.0
1,heuristic,10,10,1.0
2,max-cover,10,10,0.98
2,budget,10,10,1.0
2,heuristic,10,10,1.0
3,max-cover,10,10,0.96
3,budget,10,10,1.0
3,heuristic,10,10,1.0
4,max-cover,10,10,0.97
4,budget,10,10,1.0
4,heuristic,10,10,1.0
0,max-cover,5,10,1.0
0,budget,5,10,1.0
0,heuristic,5,10,1.0
0,max-cover,15,10,0.9733333333333334
0,budget,15,10,1.0
0,heuristic,15,10,1.0
1,max-cover,5,10,0.76
1,budget,5,10,1.0
1,heuristic,5,10,1.0
2,max-cover,5,10,0.88
2,budget,5,10,1.0
2,heuristic,5,10,1.0
3,max-cover,5,10,0.92
3,budget,5,10,1.0
3,heuristic,5,10,1.0
4,max-cover,5,10,0.8
4,budget,5,10,1.0
4,heuristic,5,10,1.0
0,max-cover,20,10,1.0
0,budget,20,10,1.0
0,heuristic,20,10,1.0
1,max-cover,15,10,0.9933333333333332
1,budget,15,10,1.0
1,heuristic,15,10,1.0
1,max-cover,20,10,0.995
1,budget,20,10,1.0
1,heuristic,20,10,1.0
2,max-cover,15,10,0.9933333333333332
2,budget,15,10,1.0
2,heuristic,15,10,1.0
3,max-cover,15,10,0.9933333333333332
3,budget,15,10,1.0
3,heuristic,15,10,1.0
2,max-cover,20,10,0.995
2,budget,20,10,1.0
2,heuristic,20,10,1.0
3,max-cover,20,10,1.0
3,budget,20,10,1.0
3,heuristic,20,10,1.0
4,max-cover,15,10,0.98
4,budget,15,10,1.0
4,heuristic,15,10,1.0
4,max-cover,20,10,1.0
4,budget,20,10,1.0
4,heuristic,20,10,1.0
