round,method,task,worker,overall-satisfactory
0,max-cover,5,10,0.86
0,budget,5,10,1.0
0,heuristic,5,10,1.0
1,max-cover,5,10,0.8200000000000001
1,budget,5,10,1.0
1,heuristic,5,10,1.0
2,max-cover,5,10,0.96
2,budget,5,10,0.98
2,heuristic,5,10,0.98
3,max-cover,5,10,0.62
3,budget,5,10,1.0
3,heuristic,5,10,1.0
0,max-cover,15,10,1.0
0,budget,15,10,1.0
0,heuristic,15,10,1.0
4,max-cover,5,10,0.94
4,budget,5,10,0.94
4,heuristic,5,10,1.0
0,max-cover,20,10,0.995
0,budget,20,10,1.0
0,heuristic,20,10,1.0
1,max-cover,15,10,0.9866666666666668
1,budget,15,10,1.0
1,heuristic,15,10,1.0
2,max-cover,15,10,0.9
2,budget,15,10,1.0
2,heuristic,15,10,1.0
1,max-cover,20,10,0.995
1,budget,20,10,1.0
1,heuristic,20,10,1.0
3,max-cover,15,10,0.9866666666666668
3,budget,15,10,1.0
3,heuristic,15,10,1.0
2,max-cover,20,10,1.0
2,budget,20,10,1.0
2,heuristic,20,10,1.0
0,max-cover,10,10,0.95
0,budget,10,10,0.99
0,heuristic,10,10,1.0
1,max-cover,10,10,0.98
1,budget,10,10,1.0
1,heuristic,10,10,1.0
3,max-cover,20,10,0.895
3,budget,20,10,1.0
3,heuristic,20,10,1.0
2,max-cover,10,10,0.97
2,budget,10,10,1.0
2,heuristic,10,10,1.0
3,max-cover,10,10,1.0
3,budget,10,10,1.0
3,heuristic,10,10,1.0
4,max-cover,20,10,0.9
4,budget,20,10,1.0
4,heuristic,20,10,1.0
4,max-cover,10,10,0.96
4,budget,10,10,1.0
4,heuristic,10,10,0.99
0,max-cover,5,20,0.69
0,budget,5,20,0.92
0,heuristic,5,20,0.97
0,max-cover,10,20,0.95
0,budget,10,20,1.0
0,heuristic,10,20,1.0
1,max-cover,5,20,0.6599999999999999
1,budget,5,20,0.93
1,heuristic,5,20,0.97
2,max-cover,5,20,0.61
2,budget,5,20,0.91
2,heuristic,5,20,0.97
1,max-cover,10,20,0.875
1,budget,10,20,1.0
1,heuristic,10,20,1.0
3,max-cover,5,20,0.54
3,budget,5,20,0.91
3,heuristic,5,20,0.94
4,max-cover,5,20,0.77
4,budget,5,20,0.94
4,heuristic,5,20,1.0
2,max-cover,10,20,0.905
2,budget,10,20,1.0
2,heuristic,10,20,1.0
3,max-cover,10,20,0.85
3,budget,10,20,0.995
3,heuristic,10,20,1.0
4,max-cover,10,20,0.94
4,budget,10,20,1.0
4,heuristic,10,20,1.0
0,max-cover,15,20,0.9633333333333334
0,budget,15,20,0.9966666666666668
0,heuristic,15,20,1.0
1,max-cover,15,20,0.9566666666666668
1,budget,15,20,1.0
1,heuristic,15,20,1.0
2,max-cover,15,20,0.9633333333333334
2,budget,15,20,1.0
2,heuristic,15,20,1.0
3,max-cover,15,20,0.9633333333333334
3,budget,15,20,1.0
3,heuristic,15,20,1.0
0,max-cover,20,20,0.99
0,budget,20,20,1.0
0,heuristic,20,20,1.0
4,max-cover,15,20,0.97
4,budget,15,20,0.9966666666666668
4,heuristic,15,20,0.9966666666666668
1,max-cover,20,20,0.9475
1,budget,20,20,1.0
1,heuristic,20,20,1.0
2,max-cover,20,20,0.99
2,budget,20,20,0.9975
2,heuristic,20,20,1.0
3,max-cover,20,20,0.99
3,budget,20,20,0.9975
3,heuristic,20,20,1.0
4,max-cover,20,20,0.985
4,budget,20,20,1.0
4,heuristic,20,20,1.0
0,max-cover,10,40,0.7050000000000001
0,budget,10,40,0.94
0,heuristic,10,40,0.8525
0,max-cover,5,40,0.385
0,budget,5,40,0.73
0,heuristic,5,40,0.825
0,max-cover,20,40,0.955
0,budget,20,40,0.995
0,heuristic,20,40,0.9975
1,max-cover,10,40,0.7025
1,budget,10,40,0.98
1,heuristic,10,40,0.9675
1,max-cover,5,40,0.4
1,budget,5,40,0.795
1,heuristic,5,40,0.735
2,max-cover,10,40,0.71
2,budget,10,40,0.935
2,heuristic,10,40,0.955
1,max-cover,20,40,0.92125
1,budget,20,40,0.995
1,heuristic,20,40,0.995
3,max-cover,10,40,0.6825
3,budget,10,40,0.945
3,heuristic,10,40,0.9275
2,max-cover,20,40,0.93
2,budget,20,40,0.99375
2,heuristic,20,40,0.9975
4,max-cover,10,40,0.7050000000000001
4,budget,10,40,0.9725
4,heuristic,10,40,0.9775
2,max-cover,5,40,0.305
2,budget,5,40,0.585
2,heuristic,5,40,0.79
3,max-cover,20,40,0.945
3,budget,20,40,0.99375
3,heuristic,20,40,0.9925
3,max-cover,5,40,0.435
3,budget,5,40,0.62
3,heuristic,5,40,0.6799999999999999
4,max-cover,20,40,0.84625
4,budget,20,40,0.9975
4,heuristic,20,40,1.0
0,max-cover,15,40,0.8233333333333334
0,budget,15,40,0.9966666666666668
0,heuristic,15,40,0.9933333333333332
4,max-cover,5,40,0.36
4,budget,5,40,0.6
4,heuristic,5,40,0.6
1,max-cover,15,40,0.81
1,budget,15,40,0.9966666666666668
1,heuristic,15,40,0.9983333333333332
2,max-cover,15,40,0.795
2,budget,15,40,0.9966666666666668
2,heuristic,15,40,0.995
3,max-cover,15,40,0.8049999999999999
3,budget,15,40,0.995
3,heuristic,15,40,0.9883333333333332
4,max-cover,15,40,0.89
4,budget,15,40,0.995
4,heuristic,15,40,1.0
