round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
0,budget,1,10,0.8,0.6,31.51237744180096,0.4,10
0,max-cover,1,10,0.1999999999999999,0.1999999999999999,21.6249158961982,0.2,10
0,heuristic,1,10,0.9,0.8,31.71050167125457,0.3,0
1,budget,1,10,0.7,0.4,35.815209859872006,0.4,10
1,max-cover,1,10,0.5,0.3,31.12637003467169,0.3,10
1,heuristic,1,10,0.9,0.9,36.70500733368262,0.5,0
2,budget,1,10,0.8,0.5,34.50870285354359,0.4,10
2,max-cover,1,10,0.1999999999999999,0.1999999999999999,31.23539902880725,0.2,10
2,heuristic,1,10,0.6,0.6,34.18822038702128,0.6,0
0,budget,1,20,0.65,0.25,34.123389652115826,0.2,20
0,max-cover,1,20,0.7,0.1999999999999999,33.74505639655431,0.15,20
0,heuristic,1,20,1.0,1.0,38.64220205654264,0.25,0
3,budget,1,10,0.5,0.4,26.00640812953377,0.4,10
3,max-cover,1,10,0.7,0.3,27.074896286233248,0.3,10
3,heuristic,1,10,1.0,1.0,28.563656451234525,0.4,0
4,budget,1,10,0.4,0.3,26.14337288050473,0.3,10
4,max-cover,1,10,0.6,0.1999999999999999,25.08546621168986,0.2,10
4,heuristic,1,10,1.0,0.8,30.42549938450816,0.3,0
5,budget,1,10,0.9,0.8,35.18275943158084,0.4,10
5,max-cover,1,10,0.1999999999999999,0.1999999999999999,28.647846458872188,0.2,10
5,heuristic,1,10,1.0,1.0,36.8836464079486,0.4,0
6,budget,1,10,0.8,0.7,31.673557961111552,0.4,10
6,max-cover,1,10,0.3,0.3,30.37002525079866,0.3,10
6,heuristic,1,10,1.0,1.0,31.95844029780149,0.4,0
7,budget,1,10,1.0,1.0,40.1817639037213,0.3,10
7,max-cover,1,10,0.5,0.1999999999999999,31.79942391171589,0.2,10
7,heuristic,1,10,0.8,0.8,38.71324369838985,0.3,0
1,budget,1,20,0.85,0.5,34.50153154733184,0.25,20
1,max-cover,1,20,0.0999999999999999,0.0999999999999999,29.00101534581924,0.1,20
1,heuristic,1,20,1.0,1.0,35.76888983428896,0.3,0
8,budget,1,10,0.9,0.7,32.50886872587881,0.4,10
8,max-cover,1,10,0.5,0.3,23.5687832461242,0.3,10
8,heuristic,1,10,0.9,0.9,33.06717618460866,0.5,0
9,budget,1,10,0.7,0.7,28.105834815985723,0.4,10
9,max-cover,1,10,0.4,0.1999999999999999,18.30284879145201,0.2,10
9,heuristic,1,10,1.0,1.0,29.32147989195565,0.4,0
0,budget,2,10,0.8,0.55,26.28863734310707,0.45,17
0,max-cover,2,10,0.4,0.4,22.477647216705115,0.4,17
0,heuristic,2,10,0.9,0.9,28.20623889751898,0.55,0
2,budget,1,20,0.95,0.55,34.66695656758345,0.2,20
2,max-cover,1,20,0.15,0.0999999999999999,27.359992255515376,0.1,20
2,heuristic,1,20,0.95,0.95,37.07530729692169,0.2,0
1,budget,2,10,0.75,0.6,30.547242862876416,0.6,14
1,max-cover,2,10,0.4,0.4,27.312885882485425,0.4,14
