round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
0,budget,1,10,0.5,0.5,0.750151318043073,0.2,10
0,max-cover,1,10,0.5,0.5,0.750151318043073,0.2,10
0,heuristic,1,10,1.0,1.0,0.8128209947388825,0.3,0
1,budget,1,10,0.7,0.7,1.740387620768011,0.3,10
1,max-cover,1,10,0.5,0.5,1.7016623076021509,0.2,10
1,heuristic,1,10,1.0,1.0,1.740387620768011,0.4,0
2,budget,1,10,1.0,1.0,2.8785769947532565,0.3,10
2,max-cover,1,10,0.5,0.5,2.664250504201576,0.2,10
2,heuristic,1,10,1.0,1.0,2.8785769947532565,0.3,0
3,budget,1,10,0.8,0.8,0.6956501254338849,0.2,10
3,max-cover,1,10,1.0,1.0,0.7109077018656083,0.3,10
3,heuristic,1,10,1.0,1.0,0.7109077018656083,0.3,0
4,budget,1,10,0.9,0.9,0.745446929383472,0.3,10
4,max-cover,1,10,0.0999999999999999,0.0999999999999999,0.4015842491847426,0.1,10
4,heuristic,1,10,1.0,1.0,0.8110620462650086,0.3,0
5,budget,1,10,0.9,0.9,0.9949893900590956,0.3,10
5,max-cover,1,10,0.0999999999999999,0.0999999999999999,0.5784290342025532,0.1,10
5,heuristic,1,10,1.0,1.0,1.0228820154238036,0.4,0
6,budget,1,10,1.0,1.0,0.9658064932060808,0.3,10
6,max-cover,1,10,1.0,1.0,0.9658064932060808,0.3,10
6,heuristic,1,10,1.0,1.0,0.9658064932060808,0.3,0
7,budget,1,10,0.6,0.3,0.6292664661713416,0.3,10
7,max-cover,1,10,0.8,0.3,0.6107053689677266,0.3,10
7,heuristic,1,10,1.0,1.0,0.7496872431508935,0.4,0
8,budget,1,10,0.8,0.8,0.4908453421119305,0.3,10
8,max-cover,1,10,0.5,0.3,0.3290555488194585,0.3,10
8,heuristic,1,10,1.0,1.0,0.505281969821105,0.4,0
9,budget,1,10,0.8,0.8,1.5321823949774878,0.4,10
9,max-cover,1,10,0.8,0.5,1.2562628163719332,0.3,10
9,heuristic,1,10,0.9,0.9,1.5565569160557169,0.5,0
0,budget,2,10,1.0,1.0,1.4743864074100703,0.8,12
0,max-cover,2,10,0.3,0.3,1.376574801673557,0.3,17
0,heuristic,2,10,0.85,0.85,1.4743864074100703,0.75,0
1,budget,2,10,1.0,1.0,0.6621859264094091,0.55,15
