from,to
1607,1112
1607,358
1607,2998
1607,4917
1607,5875
1607,5516
1607,1971
1607,1606
1607,3067
1607,236
1607,263
1607,2157
1607,2969
2877,5260
2877,5237
2877,5164
6110,291
6110,4676
6110,65
6110,4240
6110,2078
6110,4693
6110,5113
6110,547
6110,2873
6110,5516
6110,2375
6110,4038
6110,445
6110,1505
6110,3215
6110,4498
6110,1975
6110,1681
6110,1574
6110,1813
6110,5691
6110,1533
6110,4142
6110,1031
6110,3917
6110,250
6110,3015
6110,4863
6110,5541
6110,4392
6110,314
6110,1068
6110,1141
6110,2240
6110,4947
6110,3820
6110,6252
6110,5521
6110,1279
6110,5164
6110,979
6110,746
6110,4345
6110,4168
6110,1207
6110,2036
6110,4984
6110,2446
6110,5015
6110,1278
6110,3042
6110,3411
6110,3172
6110,5606
6110,5057
6110,5980
6110,157
6110,2442
6110,1833
6110,2899
6110,2461
6110,822
6110,6114
6110,4877
6110,3577
6110,2946
6110,5402
6110,690
6110,3871
6110,5231
6110,5493
6110,412
6110,3561
6110,5291
6110,1713
6110,3217
6110,5689
6110,2842
6110,2107
6110,3591
6110,691
6110,1551
6110,267
6110,2487
6110,2780
6110,3948
6110,1809
6110,1543
6110,1301
6110,5377
6110,2039
6110,3229
6110,3220
6110,1199
6110,5655
6110,110
6110,1197
6110,1763
6110,5180
6110,2195
6110,5694
6110,5108
6110,6156
1627,1271
1627,1861
1627,2643
1627,4453
1627,906
203,1992
203,866
203,4687
203,5851
203,6171
203,3490
2942,2950
5979,5393
5979,4399
4975,4287
4145,4339
5895,5232
5895,2361
4395,1505
4395,1808
286,598
2079,1505
4468,1374
4468,296
4468,2543
4468,3313
4468,5792
4468,2651
4468,5356
4468,311
4468,3181
4468,3706
4468,6099
4468,4491
4468,4616
4468,1027
4468,5245
4468,1708
4468,3634
4468,4598
4468,4385
4468,2621
4468,1163
4468,1488
4468,1540
4468,3849
4468,5588
4468,2525
4468,3652
4468,3734
4468,2444
4468,475
4468,4716
5261,389
5261,4179
5261,4933
3741,3000
5686,2125
5686,2314
5686,1665
5686,1180
5686,537
5686,1387
5686,2179
4784,1377
2199,2210
2199,969
2199,4157
2199,6192
2199,1178
2199,3431
2199,2152
2199,5380
2199,908
2199,3100
2199,2651
2199,4718
2199,1162
2199,1980
2199,146
2199,758
2199,218
2199,3105
2199,3439
2199,1218
2199,5030
2199,3401
2199,5759
2199,652
2199,220
2199,1082
2199,5492
2199,1792
2199,1001
2199,783
2199,2729
2199,5517
2199,2717
2199,211
2199,4598
2199,4765
2199,4697
2199,1915
2199,4401
2199,3175
2199,2241
2199,300
2199,4983
2199,3997
2199,3306
2199,3482
2199,5558
2199,782
2199,5067
2199,3748
2199,4439
2199,661
2199,5080
2199,3114
2199,25
2199,3106
2199,5407
2199,3223
2199,4181
2199,5254
2199,3855
2199,3933
2199,660
2199,649
2199,5889
2199,2444
2199,595
2199,4065
2199,5272
2199,3294
2199,5988
3355,1449
3355,195
4747,483
3658,4205
3658,4342
5149,3608
5149,4870
5149,5070
5149,2592
5149,5252
5149,1347
5149,814
5149,190
5149,6049
2746,4067
5305,5869
5305,4881
5305,982
5305,2898
5305,2832
5305,4758
5305,1161
5305,904
5305,1873
5305,463
5305,1043
5305,3973
5305,3120
5305,2527
5305,1037
5305,2005
5305,5115
5305,2327
5305,2468
5305,2380
5305,4418
5305,6072
5305,3088
5305,4150
5305,2043
5305,1554
5305,1778
5305,3863
5305,1383
5305,4250
5305,5595
5305,666
5305,6107
5305,3324
5305,2117
5305,3772
5305,5375
5305,2420
5305,5486
5305,6141
5305,754
5305,3939
5305,1880
5305,2395
5305,5118
5305,2421
5305,4086
5305,1594
5305,3867
5305,2265
5305,4048
5305,1021
5305,2253
5305,5190
5305,1793
5305,2724
5305,3039
5305,282
5305,4715
5305,4204
5305,2415
5305,3102
5305,2736
5305,4105
5305,4796
5305,2567
5305,813
5305,3282
5305,2238
5305,5636
5305,5802
5305,1810
5305,4736
5305,3134
5305,4865
5305,188
5305,4867
5305,5769
5305,1630
5305,2080
5305,5429
5305,1465
5305,1188
5305,4705
5305,5496
5305,3427
5305,87
5305,2847
5305,1185
5305,1956
5305,695
5305,1351
5305,5198
5305,3549
5305,4661
5305,566
5305,1172
5305,1826
5305,5632
5305,5950
5305,320
5305,357
5305,5032
969,5474
969,4185
969,4263
969,2808
969,5604
969,196
969,983
969,5618
969,6139
969,5471
969,5114
969,681
969,1980
969,875
969,3181
969,294
969,5779
969,2658
969,108
969,3020
969,3919
969,2579
969,5459
969,118
969,260
969,3175
969,4020
969,4868
969,3149
969,6138
969,2363
969,2646
969,1877
969,3547
969,654
969,692
969,632
969,6133
969,2184
969,3695
969,1999
969,2809
969,2160
969,3014
969,4399
969,5416
969,5036
969,5434
5911,3906
5911,5174
5911,5283
5911,5327
5911,5454
5911,2423
5911,6004
2387,5989
2387,2916
2387,6010
2387,4012
2387,64
2811,2518
2811,2127
2811,1676
2811,3639
2811,5374
2811,43
2811,2009
2811,2522
2811,1889
2811,670
2811,4654
2811,4906
2811,6246
2811,5603
2811,6092
2811,1970
2811,1694
2811,959
2811,989
2811,15
2811,4916
2811,2657
2811,1047
2811,1526
2811,3860
2811,5387
2811,5593
2811,3930
2811,3315
2811,3988
2811,871
2811,5138
2811,5852
2811,3927
2811,4495
2811,5090
2811,4681
2811,1960
2811,2
2811,717
2811,5037
2811,2609
2811,1093
2811,3473
2811,5633
2811,5545
2811,4703
2811,4379
2811,5826
2811,5436
2811,951
2811,4247
2811,1973
2811,1589
2811,1020
2811,2143
2811,5421
2811,4190
2811,2733
2811,4221
2811,1182
2811,2718
2811,3572
2811,1884
2811,5482
2811,4207
2811,1246
2811,493
2811,4301
2811,3438
2811,3479
2811,6279
2811,2342
2811,2181
2811,1865
2811,3292
2811,299
230,1296
2341,1023
2341,1307
2575,5768
2575,3857
2575,6172
2575,5444
2575,5805
2575,965
2575,5749
2575,3201
2575,962
2575,6150
2575,5066
2575,2363
2575,2778
2575,5389
2575,4463
2575,3716
2575,6154
4137,2692
2824,656
2824,4977
2824,3233
1741,3658
676,5612
5415,1183
5760,738
2394,6200
2394,1660
2394,3009
2394,2208
2394,5882
2394,2545
2394,4087
2394,5079
2394,502
1742,1570
1742,4283
4710,4818
4710,3654
4710,5001
4710,3930
4710,1884
1581,4386
4934,5458
4934,2818
4934,5478
6045,5564
6045,637
6045,1964
6045,26
6045,6274
6045,826
6045,118
6045,5890
6045,528
6045,2891
6045,4756
6045,3669
6045,114
2711,3399
2514,3895
4169,6028
4169,702
4169,1371
4169,5440
4169,1213
4169,2224
4169,4757
2786,5836
2786,4940
2786,3116
2786,3568
2119,4789
1616,931
5628,4667
5628,2207
5628,5813
3061,5178
3061,3919
4836,2543
4836,3653
4836,1747
3341,5722
3341,5969
3021,3467
3021,3795
6009,6153
3537,3340
3537,3668
3537,128
3537,3306
3537,2885
3537,5967
3537,169
3537,215
3537,2629
3537,3332
3537,3308
687,4212
687,4245
687,2144
687,1785
687,118
687,2447
687,1472
687,4525
687,5903
687,2361
687,5737
687,6236
687,5789
687,3734
687,2547
687,4701
318,734
318,1933
318,304
318,2173
318,1180
162,5946
5110,1259
5110,405
5110,1862
806,3331
806,6096
806,5771
806,3623
806,2743
3486,5617
635,5760
635,2934
635,5283
635,3209
635,3318
635,5464
635,6122
635,5145
635,2050
635,4778
1337,1482
1337,2655
1337,5559
1337,707
1337,6183
2455,2569
2455,3979
2455,5091
2455,1023
2455,2862
2455,3392
2455,1519
2455,2595
2455,901
2455,1803
2455,1376
2455,4579
2455,117
2455,2097
2455,2815
2455,6187
2455,873
2455,4126
2455,455
2455,2130
2455,3605
2455,2447
2455,4868
2455,3714
2455,454
2455,2363
2455,4318
2455,3301
2455,2172
2455,3321
2455,2252
2455,831
2455,1108
2455,3800
2455,5355
2455,10
2455,4969
2455,6077
2455,5033
2455,3087
2455,715
2455,5821
2455,2397
2455,657
2455,4226
5986,5520
5986,2746
5986,4384
5986,2273
5986,146
5986,5907
5986,5120
5986,4087
5986,3152
1773,5453
1773,3978
1773,4889
839,2804
1478,318
1478,4708
1478,2934
1478,2754
1478,5100
1478,281
1478,5058
1478,3716
1478,475
5941,3781
5941,710
5941,2522
5941,2973
5941,3307
5941,3829
4107,4391
4107,289
5772,675
5772,4251
5772,1189
5772,2097
5772,836
5772,1280
5772,6005
6124,1146
4046,1728
4046,6122
4046,2063
325,5656
573,2817
573,63
573,3783
573,3860
573,5850
573,4596
573,3930
573,3310
5244,5894
5244,2069
5244,3784
3492,1695
3492,4846
3492,4107
3492,142
3492,3279
3492,4123
3492,6216
3492,376
3492,1564
3492,5812
3492,5370
3492,4493
3492,5838
5860,4659
5860,4469
5860,2972
4172,4055
4172,4925
4172,1654
4172,714
1892,3014
2683,2973
2683,2413
228,1118
228,4839
2471,4685
2471,4332
2471,5241
2471,4614
2471,6032
2471,2804
2471,5681
2471,3892
2471,2288
983,5250
983,6287
983,4462
5938,5027
5938,710
5938,3635
5938,39
5938,1612
5902,1609
5902,1435
5902,1520
1683,2771
1683,3653
1683,3672
1547,3123
1547,1343
3092,4202
3092,555
3092,397
2412,2803
818,740
818,1151
818,2717
818,634
818,3306
818,2943
818,2142
1221,3465
1493,1895
1493,2497
1493,4009
1493,6262
1493,5931
1493,5932
1493,1362
1493,5550
1461,3045
1461,2532
1461,136
1461,4373
1461,19
1461,2677
1461,3127
1461,3194
1461,5040
1461,5238
1461,3291
1461,1377
1461,332
1461,3815
1461,323
1461,5314
1461,1143
1461,2831
1461,3405
1461,6259
1461,6164
1461,5658
